symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
RELIANCE,INE002A01018,2024-01-15,NSE,EQ,EQ,buy,false,50,2450.00,T100001,O100001,2024-01-15 09:20:05
RELIANCE,INE002A01018,2024-01-15,NSE,EQ,EQ,buy,false,50,2455.50,T100002,O100002,2024-01-15 09:25:10
RELIANCE,INE002A01018,2024-01-15,NSE,EQ,EQ,sell,false,100,2465.75,T100003,O100003,2024-01-15 14:10:00
RELIANCE,INE002A01018,2024-01-15,NSE,EQ,EQ,buy,false,50,2450.00,T100001,O100001,2024-01-15 09:20:05
TCS,INE467B01029,2024-01-16,NSE,EQ,EQ,buy,false,15,3850.00,T100004,O100004,2024-01-16 09:35:00
TCS,INE467B01029,2024-01-16,NSE,EQ,EQ,sell,false,15,3865.00,T100005,O100005,2024-01-16 09:50:00
INFY,INE009A01021,2024-01-17,NSE,EQ,EQ,buy,false,30,1550.25,T100006,O100006,2024-01-17 09:45:00
INFY,INE009A01021,2024-01-17,NSE,EQ,EQ,buy,false,30,1550.25,T100006,O100006,2024-01-17 09:45:00
RELIANCE,INE002A01018,2024-01-18,NSE,EQ,EQ,buy,false,40,2480.00,T100007,O100007,2024-01-18 09:15:00
RELIANCE,INE002A01018,2024-01-18,NSE,EQ,EQ,sell,false,40,2465.00,T100008,O100008,2024-01-18 09:50:00
INFY,INE009A01021,2024-01-19,NSE,EQ,EQ,sell,false,30,1575.00,T100009,O100009,2024-01-19 10:00:00
HDFCBANK,INE040A01034,2024-01-22,NSE,EQ,EQ,buy,false,25,1650.00,T100010,O100010,2024-01-22 10:00:00
HDFCBANK,INE040A01034,2024-01-22,NSE,EQ,EQ,sell,false,25,1635.00,T100011,O100011,2024-01-22 11:30:00
HDFCBANK,INE040A01034,2024-01-23,NSE,EQ,EQ,buy,false,60,1640.00,T100012,O100012,2024-01-23 09:30:00
HDFCBANK,INE040A01034,2024-01-23,NSE,EQ,EQ,sell,false,60,1652.50,T100013,O100013,2024-01-23 12:00:00
SBIN,INE062A01020,2024-01-24,NSE,EQ,EQ,buy,false,80,615.00,T100014,O100014,2024-01-24 09:25:00
SBIN,INE062A01020,2024-01-24,NSE,EQ,EQ,sell,false,80,622.75,T100015,O100015,2024-01-24 13:45:00
SBIN,INE062A01020,2024-01-25,NSE,EQ,EQ,buy,false,50,630.00,T100016,O100016,2024-01-25 09:30:00
SBIN,INE062A01020,2024-01-25,NSE,EQ,EQ,sell,false,50,624.00,T100017,O100017,2024-01-25 10:00:00
RELIANCE,INE002A01018,2024-01-26,NSE,EQ,EQ,buy,false,100,2500.00,T100018,O100018,2024-01-26 09:20:00
RELIANCE,INE002A01018,2024-01-26,NSE,EQ,EQ,sell,false,40,2510.00,T100019,O100019,2024-01-26 10:15:00
TCS,INE467B01029,2024-01-29,NSE,EQ,EQ,buy,false,20,3800.00,T100020,O100020,2024-01-29 09:30:00
INFY,INE009A01021,2024-01-30,NSE,EQ,EQ,buy,false,45,1560.00,T100021,O100021,2024-01-30 09:40:00
INFY,INE009A01021,2024-01-30,NSE,EQ,EQ,sell,false,45,1552.00,T100022,O100022,2024-01-30 10:05:00
SBIN,INE062A01020,2024-02-01,NSE,EQ,EQ,buy,false,100,620.00,T100023,O100023,2024-02-01 09:20:00
HDFCBANK,INE040A01034,2024-02-02,NSE,EQ,EQ,buy,false,20,,T100024,O100024,2024-02-02 09:30:00
